"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"HCNNG","Trees = 30",100000,55.8037,23.6437,56

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
10000,0.6,0.66167,60786.2,242,315,10,10,10,10,1.35
10000,0.7,0.7412,56029.9,262,341,11,11,10,11,1.35
10000,0.8,0.80155,52441.4,281,368,12,12,10,12,1.35
10000,0.85,0.87978,44958.4,319,419,14,14,10,14,1.35
10000,0.9,0.90331,42869.5,337,447,15,15,10,15,1.35
10000,0.93,0.94823,40973.4,377,596,17,26,10,10,1.35
10000,0.95,0.95283,39209.4,395,613,18,27,10,11,1.35
10000,0.97,0.97026,32296.8,484,726,23,32,10,16,1.35
10000,0.98,0.98038,27198.8,583,853,29,38,10,22,1.35
10000,0.99,0.99076,20222,788,1143,40,50,10,34,1.35
10000,0.995,0.99595,14982.6,1053,1532,56,65,10,50,1.35
10000,0.999,0.99925,8591.01,1636,2495,102,117,10,100,1.35
10000,0.9995,0.99963,6556.18,1981,3183,131,158,10,140,1.35
10000,0.9999,0.99993,4500.52,2527,4540,179,248,10,225,1.35
10000,0.99995,0.99995,4230.39,2652,4914,190,273,10,250,1.35
10000,0.99999,0.99999,3153.99,3139,7803,243,532,10,500,1.35


