"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"pyNNDescent","K = 40",100000,45.8586,28.0935,40

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
10000,0.6,0.63743,52501.7,286,360,10,10,10,10,1.35
10000,0.7,0.70973,47986.9,311,391,11,11,10,11,1.35
10000,0.75,0.77191,45264.8,336,423,12,12,10,12,1.35
10000,0.8,0.82298,41987.9,361,453,13,13,10,13,1.35
10000,0.85,0.86073,39939.8,386,484,14,14,10,14,1.35
10000,0.9,0.9097,35765.8,434,542,16,16,10,16,1.35
10000,0.93,0.93918,32248.3,481,601,18,18,10,18,1.35
10000,0.95,0.96157,33480.3,465,714,17,29,10,10,1.35
10000,0.97,0.97301,28846.5,534,800,20,33,10,13,1.35
10000,0.98,0.98093,27406.5,605,892,23,38,10,16,1.35
10000,0.99,0.99051,19596,823,1151,33,51,10,26,1.35
10000,0.995,0.99508,15242.6,1080,1468,45,66,10,38,1.35
10000,0.999,0.99908,8350.99,1815,2471,85,111,10,80,1.35
10000,0.9995,0.99954,7283.6,2020,2828,103,131,10,100,1.35
10000,0.9999,0.99992,4250.81,2852,4526,172,232,10,200,1.35
10000,0.99995,0.99996,3602.18,3162,5363,196,281,10,250,1.35
10000,0.99999,0.99999,2880.66,3488,6938,235,412,10,375,1.35


